1705	I'm tired.	1550931	Мен шаршадым.
2344	Better late than never.	1517242	Ештен кеш жақсы.
20086	All that glitters is not gold.	1517271	Жарқырағанның бәрі алтын емес.
23957	What do you do in your free time?	1550954	Сіз бос уақытыңызда не істейсіз?
25029	What's new?	1550927	Жаңалық бар ма?
25095	Can I help you?	1520220	Сізге жәрдем беруге бола ма?
27821	January is the first month of the year.	1518472	Жылдың бiрiншi айы - қаңтар.
30533	Of course I will go.	1528824	Әрине, мен барамын.
34306	This is Brian Rock.	457805	Бұл Брайан Рок.
38064	By the way, how old are you?	1560497	Айтпақшы, жасың нешеде?
38153	Where do you work?	875095	Қайда жұмыс істейсіз?
38153	Where do you work?	2734714	Қайда жұмыс істейсін?
40154	I met him just now.	1550008	Мен жаңа ғана оны таныстым.
42849	What is it?	1521777	Мынау не?
57524	This thin book is mine.	3091630	Бұл жұқа кітап менікі.
61484	This is my daughter.	883955	Бұл менің қызым.
63957	Is your mother at home?	1550004	Мамаң үйде ме?
69003	Do you know him?	2428420	Сен оны білесің бе?
138919	Welcome.	437434	Қош келдіңіздер!
238802	There is no air on the moon.	1518360	Айда ауа жоқ.
240422	There are lots of animals in the park.	2297402	Саябақта көп жануарлар бар.
242597	Where is today's paper?	1556772	Бүгінгі газет қайда?
4731122	We have a square table.	1518337	Бізде төрткіл үстел бар.
290660	He made good use of the opportunity.	2428424	Ол мүмкіншілігін қолдана білді.
295346	He is a teacher.	3551574	Ол мұғалім.
298949	He raised his hand to ask a question.	1356872	Сұрақ қою үшін қолын көтерді.
321732	I'll stay home.	1520239	Мен үйімде қаламын.
329713	Good morning!	3552552	Қайырлы таң!
338182	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.	532206	Барлық адамдар тумысынан азат және қадір-қасиеті мен кұқықтары тең болып дүниеге келеді. Адамдарға ақыл-парасат, ар-ождан берілген, сондықтан олар бір-бірімен туыстық, бауырмалдық қарым-қатынас жасаулары тиіс.
349064	I don't know.	1520200	Мен білмеймін.
356200	Who are you?	876921	Сіз кімсіз?
361350	Happy New Year!	437411	Жаңа жылыңызбен!
373330	Hello!	509821	Сәлем.
404592	There is a metro in Kazan.	1517404	Қазанда метро бар.
413731	One, two, three, four, five, six, seven, eight, nine, ten.	895557	Бiр, екi, үш, төрт, бес, алты, жетi, сегiз, тоғыз, он.
416367	Where are you going?	1520173	Сен қайда барасың?
433680	That's enough.	1553131	Осы да жеткілікті.
436243	How old are you?	3552539	Сіздің жасыңыз нешеде?
436293	I am a doctor.	1518837	Мен дәрігермін.
437360	People of Almaty, let us create a child-friendly city!	437352	Алматылықтар, балалар үшін мейірімді қала жасайық!
437368	Celebrate in style!	437364	Ерекше атап өт!
437377	Siemens. No family can do without us.	437373	Сименс. Біз әр жанұяға қажетпіз.
437383	Almaty is my favorite city!	437381	Алматы - менің сүйікті қалам!
437397	They took away all of our paperwork.	437393	Олар бізден барлық қагаз жұмысты өзіне алды.
437422	Get both a phone and internet access in a single package!	437419	Интернет пен телефонды бір жинақта сатыл ал!
437430	You want to work at METRO?!	437426	Сен МЕТРО-да жұмыс істегің келе ме?!
437442	You are a toilet!	437440	Сен дәретхана!
437454	Unity is our strength!	437451	Біздің күшіміз - бірлікте!
438570	Freshness is our top priority.	438568	Жақа құйылған — ең бастысы.
438573	Be yourself!	438571	Еркің өзіңде болсын!
438576	Every day has a sequel.	438574	Батар күннің атар таңы бар.
438579	Our rates are now lower!	438577	Біздің тарифтеріміз азайтылды!
438582	The quality of higher education must answer to the highest international standards.	438580	Жоғары білім сапасы ең жоғары халықаралық талаптарға жауап беруі тиіс.
438585	There's no food right now.	438583	Әзір тамақ жоқ.
438599	This is made in Kazakhstan.	438595	Бұл Қазақстанда жасалған.
448645	Thanks!	3594303	Рахмет!
452769	Who's this?	438587	Мынау кім?
453790	I don't want meat.	2340141	Ет қаламаймын.
456287	Ladies and gentlemen, please sit down.	1526948	Ханымдар мен мырзалар, отырыңыздар.
477061	No.	478744	Жоқ.
477086	Yes.	509767	Иә.
497969	See you tomorrow.	3552548	Ертеңге дейін!
499689	Good afternoon.	3552552	Қайырлы таң!
2793249	I have a book.	3685890	Менің кітабым бар.
516622	This book is mine.	3091628	Бұл кітап менікі.
559672	Good morning, ladies and gentlemen!	1526945	Қайырлы таң, ханымдар мен мырзалар!
582309	I need help.	1549933	Маған көмек керек.
719306	Do you speak Spanish?	1550944	Сіз испанша сөйлейсіз бе?
733182	The ticket is good through Monday.	1518469	Билет дүйсенбiге дейiн нақты.
757406	Thanks for the information.	2839210	Хабарыңызға рақмет!
855284	Good day!	1517391	Қайырлы күн!
939683	A week is divided into seven days: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, and Sunday.	1518370	Апта жетi күн жiктеледi: дүйсенбi, сейсенбi, сәрсенбi, бейсенбі, жұма, сенбі, жексенбi.
978547	This is not a cat. This is a dog.	3296451	Бұл мышық емес. Бұл ит.
980457	Will you come with me to the concert?	2767116	Менімен концертке келесің бе?
1037900	What can I do for you?	3551571	Сіз үшін не істей аламын ?
1099054	She is a beautiful woman.	3686241	Ол әдемі әйел.
1108683	See you tomorrow!	3552548	Ертеңге дейін!
1211854	I was born there.	1518676	Мен анда дүниеге келдiм.
1342132	I have an electric guitar.	1519727	Менде электрогитара бар.
1389785	I need a translator.	1496122	Маған аудармашы керек.
1399479	Burj Khalifa is currently the tallest skyscraper in the world.	1535271	Бүгінгі күнде Бурж Халифа әлемдегі ең биік ғимарат.
1494374	I want to study German.	1494389	Мен немiс тiлiн үйренгiм келейдi.
1518120	The most important things for our nation are unity, interethnic harmony and political stability.	1518117	Біздің халқымызға ең керегі - бірлік, ұлтаралық татулық пен саяси тұрақтылық.
1518394	Monday is a hard day.	1518392	Дүйсенбі – ауыр күн.
1518826	The work is a whole day.	1518822	Жұмыс тәулік бойы істеледі.
1520150	I live in Shymkent.	1520144	Мен Шымкентте тұрамын.
1520245	I like it.	1520242	Бұл маған ұнап тұр.
1535873	I am 24 years old.	1518810	Мен жиырма төрт жастамын.
1535873	I am 24 years old.	1518811	Мен 24 жастамын.
1547660	My younger brother went to school.	1520908	Інім мектепке кетті.
1547662	This is a name.	1520247	Мынау - ат.
1547670	I came earlier than him.	1520957	Мен одан ертерек келдім.
1547672	I came earlier than her.	1520957	Мен одан ертерек келдім.
1547683	The work goes around the clock.	1518822	Жұмыс тәулік бойы істеледі.
1547685	I will shoot her.	1358781	Мен оны атып тастаймын.
1547694	His words are meaningless.	1520974	Сөзінің маңызы жоқ.
1547698	Is it ok if I help you?	1520220	Сізге жәрдем беруге бола ма?
1547712	The rampant sickness spread to many countries.	1520939	Індет көп елді жайлады.
1547716	She raised her hand to ask a question.	1356872	Сұрақ қою үшін қолын көтерді.
1547718	I want to write some spoken words.	1520928	Біреудің айтуымен жазғым келеді.
1547719	I want to take dictation.	1520928	Біреудің айтуымен жазғым келеді.
1547724	Today is the second of January.	1518473	Бүгiн екiншi қаңтар.
1547726	Monday is a difficult day.	1518392	Дүйсенбі – ауыр күн.
1547728	I'm staying home.	1520239	Мен үйімде қаламын.
1547730	I stay home.	1520239	Мен үйімде қаламын.
1547734	You just killed me.	1520990	Өлтірдің ғой мені.
1547738	You kill me!	1520990	Өлтірдің ғой мені.
1547744	Every day has a continuation.	438574	Батар күннің атар таңы бар.
1548635	Thanks to my classmates, who helped me during hard times!	1548633	Қиын шақта көмектескен сыныптастарыма рақмет!
1549832	First of all, let me speak about myself.	1547781	Бiрiншiден, өзiм туралы айтайын.
1549833	This text is not a translated text.	1547772	Бұл мəтiн – аударылған мəтiн емес.
1549834	I will try to write in Kazakh myself.	1547766	Мен өзiм Қазақша жазуға тырыстым.
1549835	Of course, there will probably be many mistakes.	1547764	Əрине, көп қателер болатын шығар.
1549836	I have my goals, plans, and reasons for learning Kazakh language.	1547762	Қазақ тiлiн үйрену үшiн менiң мақсаттарым, жоспарларым, себептерiм бар.
1549837	I have no statistics.	1547761	Менде санақтар жоқ.
1549840	Marriage is a unity made from love.	1549839	Неке – махаббаттан жасалған бiрлiк.
1549842	Was Mother Teresa a good woman?	1549841	Мать Тереза жақсы əйел болды ма?
1549844	Is Mother Teresa a good person?	1549843	Мать Тереза жаксы әйел бола ма?
1549846	I don't know who a role model for me would be.	1549845	Мен үшiн кiм үлгi болатынын бiлмеймiн.
1549848	Usually newspapers and magazines have many opinions.	1549847	Əдетте газеттерде жəне журналдарда көп пiкiрлер бар.
1549850	In the Soviet Union, there were maybe only official or political ideas.	1549849	Кеңес одағында, мүмкiн ресми немесе саяси ойлар ғана болды.
1549852	For example, the idea of marriage is a religious idea, a thing that comes from God.	1549851	Мысалы, «неке» деген ой – дiни ой, құдайдан келген нəрсе.
1549854	However, your wedding, it is yours and made from your own choices.	1549853	Бiрақ сiздiң некеңiз, ол сiздiкi – өз таңдауыңызбен жасалған.
1549856	So, after the death of the prophet, we are again alone.	1549855	Сосын, пайғамдар қайтыс болғаннан кейiн, бiз тағы да жалғызбыз.
1549858	First of all let me speak about the meaning of these words.	1549857	Бiрiншiден мен бұл сөздердiң мағынасы туралы айтайын.
1549860	In my opinion, in Kazakh there are many words that come from other languages, but there's nothing wrong with that.	1549859	Менiң пiкiрiмше, қазақ тiлiнiң iшiнде басқа тiлден келген сөздер көп, ал бұл жаман емес.
1549862	Music is a God given gift.	1549861	Музыка – құдайдың берген сыйы.
1549898	A wooden-legged, glass-eyed mother is coming.	1549897	Aғаштан жасалған аяғы бар, әйнектен жасалған көзi бар ана саған келе жатыр.
1549899	A mother with a wooden leg and glass eye is coming.	1549897	Aғаштан жасалған аяғы бар, әйнектен жасалған көзi бар ана саған келе жатыр.
1549900	That night, Asem broke five dishes.	1549894	Сол түнде, Әсем бес ыдысты сындырды.
1549901	First Asem, then Saule started to cry.	1549893	Бiрiншi Әсем, содан Сәуле жылай бастады.
1549902	But Saule didn't want to go.	1549891	Бiрақ Сәуленiң кеткiсi келмедi.
1549903	Saule, give me the drum.	1549890	Сәуле, дағырамды бершi.
1549904	Saule, give the drum.	1549890	Сәуле, дағырамды бершi.
1549905	One gypsy family with their caravan was encamped.	1549889	Бiр сыған отбасы өзiнiң керуенiмен тұрып жатқан екен.
1549906	Every day the girls used to walk to the village to look for work, after which they would give the money they found to their mother.	1549888	Күн сайын қыздар ауылға жаяу жұмыс iздеуге баратын, содан кейiн тапқан ақшасын анасына беретiн.
1549907	They lived in a village close to a forest.	1549887	Олар орманның жанындағы ауылда тұратын едi.
1550023	This is a waterproof watch.	1518415	Мынау - су сіңірмейтін сағат.
1550024	This is a waterproof clock.	1518415	Мынау - су сіңірмейтін сағат.
1550026	The dogs barked all night.	1518425	Иттер түнi бойы үрдi.
1550027	I will miss you.	1518439	Мен сені сағынамын.
1550029	He said that Tokyo is a safe city.	1518446	Ол деп айтты, Токио - қауiпсiз қала.
1550031	A hungry child doesn't play with a full child.	1518486	Аш бала тоқ баламен ойнамайды.
1550032	A hungry child isn't going to play with a full child.	1518486	Аш бала тоқ баламен ойнамайды.
1550899	During the Soviet Union, there were two big newspapers - "Pravda" and "Izvestiia."	1550898	Кеңес одағында, екi үлкен газет болған екен – «Правда» және «Известия».
1550900	The "Bolashak" program is very useful.	1550897	«Болашақ» бағдарламасы өте пайдалы болып жатыр.
1550902	If the government wants to write news, it is not news.	1550901	Егер үкiмет жаңалықты жазғызса, жаңалық емес.
1550904	Kazakhstan is one of the developed countries in Central Asia.	1550903	Қазақстан – Орта Aзияның дамыған елдерiнiң бiрi.
1550906	Because the president is a human being, making mistakes is possible.	1550905	Президент адам болғандықтан, қателер iстеуi мүмкiн.
1550908	The journalists in Russia are not free, are not independent.	1550907	Ресейдегi журналистика еркiн емес, тәуелсiз емес.
1550910	In Soviet times, each government made propaganda.	1550909	Соғыс кезiнде, әр үкiмет пропаганда жасайды.
1550912	America is not the most democratic nation.	1550911	Aмерика ең демократиялы ел емес.
1550919	When we tell such lies, I think we are informing others about our own selves.	1550916	Бiз осылай өтiрек айтқанда, бiз өзiмiз туралы хабарлаймыз, деп ойлаймын.
1550929	What's new with you?	1550926	Жаңалығыңыз бар ма?
1550930	Do you have any news?	1550926	Жаңалығыңыз бар ма?
1550934	Are the students sitting in the auditorium?	1550933	Студенттер аудиторияда отыр ма?
1550935	Do the students sit in the auditorium?	1550933	Студенттер аудиторияда отыр ма?
1550938	Will you eat dinner?	1550936	Кешкі тамақ ішесің бе?
1550941	I don't eat meat.	1550940	Мен ет жемеймін.
1550943	Where is the nearest store?	1550942	Жақын жердегі дүкен қайда?
1550947	What languages do you know?	1550946	Сіз қандай тілдерді білесіз?
1550949	No, I am not married.	1550948	Жоқ, үйленген жоқпын.
1550951	I am single.	1550950	Мен бойдақпын.
1550958	In his free time, he likes to be on the Internet.	1550957	Ол бос уақытында интернетте отыруды жақсы көреді.
1550959	In her free time, she likes to be on the Internet.	1550957	Ол бос уақытында интернетте отыруды жақсы көреді.
1553088	He doesn't know the Kazakh language.	1553068	Ол қазақ тілін білмейді.
1553089	She doesn't know the Kazakh language.	1553068	Ол қазақ тілін білмейді.
1560467	I don't speak Kazakh.	1560465	Мен қазақша сөйлемеймін.
1560467	I don't speak Kazakh.	1560468	Мен қазақша сөйлей алмаймын.
1564112	I will spend my next year vacation abroad.	1564107	Келесі жылы демалысымды шетелде өткіземін.
1570104	I will wait outside.	1569213	Тыста күтемін.
1580370	Please follow the school rules.	2428422	Мектеп ережелерін ұстануыңызды өтінеміз.
1597521	The Mongolian dinosaur was sold in New York for a million dollars.	1585442	Моңғол динозавры Нью-Йоркте миллион долларға сатылды.
1869830	Your room is dirty.	3573692	Сенің бөлмен кір.
1900777	When did you come?	3552592	Қашан келдіңіз?
2102665	Made in Russia.	2102663	Ресейде өндірілген.
2225415	Sugar is soluble in water.	2226005	Қант суда еритін.
2258234	Good morning.	3552552	Қайырлы таң!
2265983	Good evening!	3552559	Кеш жарық!
2317690	Do you want my heart between your teeth?	2340130	Жүрегімді тістерінің арасында қалайсың ба?
2402475	April 25th is World Malaria Day.	2402465	25 сәуір - бүкіләлемдік безгекке қарсы күрес күні.
2412739	I have two cats.	2927652	Менің екі мысығым бар.
2604279	What does a Sovietologist study?	2623602	Советологтар нені зерттейді?
1194034	I'm not a doctor.	2661345	Мен дәрігер емеспін.
2659619	He was in the seventh heaven.	1534058	Оның төбесі көкке жетті.
2666720	Do you have a book?	3685898	Сенің кітабың бар ма?
2686464	Children are the flowers of our lives.	2768803	Балалар өміріміздің гүлдері.
2730653	I am an engineer.	2296461	Мен инженермін.
2730657	He is not a student.	2297397	Ол студент емес.
2730661	She is not a student.	2297397	Ол студент емес.
2744109	Don't eat me.	2744107	Сен мені жеме.
2940527	We don't have a daughter.	2942291	Біздің қызымыз жоқ.
2940747	I haven't got books.	2942280	Менің кітаптарым жоқ.
3551575	Translate the word.	3551576	Сөзді аударыңыз.
3552554	Good afternoon!	3552552	Қайырлы таң!
1285339	How do you do?	3552562	Сәлеметсіз бе!
373330	Hello!	3552564	Сәлем!
373320	How are you?	3552574	Қаліңіз қалай?
1165055	Fine!	3552576	Тамаша!
3553092	Do you know much about Boston?	3554515	Бостон жайлы көп білесіз бе?
3553094	Do you know much about Tom?	3554514	Том жайлы көп білесіз бе?
3553096	This is the guitar that Tom gave me.	3554513	Том маған берген гитара осы.
2208343	Am I alone here?	3554511	Мен бұл жерде жалғызбын ба?
3553374	Has the climate changed?	3554470	Ауа райы өзгерді ме?
3553533	We will decide later.	3554469	Біз кейін шешерміз.
